Wassertank v1
Modus: Zwei-Punkt-Regler
timestamp [s]; pump rpm [1/min]; pump state; p1 [Pa]; p2 [Pa]; valve status; floatswitch status
 371.2;    0; OFF     ;     0; 15993; 0; 0                                                          
 372.2;    0; OFF     ;     0; 15984; 0; 0                                                          
 373.2;    0; OFF     ;     0; 15971; 0; 0                                                          
 374.2;    0; OFF     ;     0; 15968; 0; 0                                                          
 375.2;    0; OFF     ;     0; 15963; 0; 0                                                          
 376.2;    0; OFF     ;     0; 15959; 0; 0                                                          
 377.2;    0; OFF     ;     0; 15959; 0; 0                                                          
 378.2;    0; OFF     ;     0; 15956; 0; 0                                                          
 379.2;    0; OFF     ;     0; 15951; 0; 0                                                          
 380.2;    0; OFF     ;     0; 15949; 0; 0                                                          
 381.2;    0; OFF     ;     0; 15936; 0; 0                                                          
 382.2;    0; OFF     ;     0; 15928; 0; 0                                                          
 383.2;    0; OFF     ;     0; 15918; 0; 0                                                          
 384.2;    0; OFF     ;     0; 15898; 0; 0                                                          
 385.2;    0; OFF     ;     0; 15892; 0; 0                                                          
 386.2;    0; OFF     ;     0; 15874; 0; 0                                                          
 387.2;    0; OFF     ;     0; 15853; 0; 0                                                          
 388.2;    0; OFF     ;     0; 15852; 0; 0                                                          
 389.2;    0; OFF     ;     0; 15830; 0; 0                                                          
 390.2;    0; OFF     ;     0; 15812; 0; 0                                                          
 391.2;    0; OFF     ;     0; 15807; 0; 0                                                          
 392.2;    0; OFF     ;     0; 15786; 0; 0                                                          
 393.2;    0; OFF     ;     0; 15776; 0; 0                                                          
 394.2;    0; OFF     ;     0; 15767; 0; 0                                                          
 395.2;    0; OFF     ;     0; 15753; 0; 0                                                          
 396.2;    0; OFF     ;     0; 15750; 0; 0                                                          
 397.2;    0; OFF     ;     0; 15744; 0; 0                                                          
 398.2;    0; OFF     ;     0; 15740; 0; 0                                                          
 399.2;    0; OFF     ;     0; 15740; 0; 0                                                          
 400.2;    0; OFF     ;     0; 15738; 0; 0                                                          
 401.2;    0; OFF     ;     0; 15734; 0; 0                                                          
 402.2;    0; OFF     ;     0; 15731; 0; 0                                                          
 403.2;    0; OFF     ;     0; 15719; 0; 0                                                          
 404.2;    0; OFF     ;     0; 15711; 0; 0                                                          
 405.2;    0; OFF     ;     0; 15701; 0; 0                                                          
 406.2;    0; OFF     ;     0; 15682; 0; 0                                                          
 407.2;    0; OFF     ;     0; 15675; 0; 0                                                          
 408.2;    0; OFF     ;     0; 15658; 0; 0                                                          
 409.2;    0; OFF     ;     0; 15637; 0; 0                                                          
 410.2;    0; OFF     ;     0; 15636; 0; 0                                                          
 411.2;    0; OFF     ;     0; 15614; 0; 0                                                          
 412.2;    0; OFF     ;     0; 15596; 0; 0                                                          
 413.2;    0; OFF     ;     0; 15590; 0; 0                                                          
 414.2;    0; OFF     ;     0; 15569; 0; 0                                                          
 415.2;    0; OFF     ;     0; 15558; 0; 0                                                          
 416.2;    0; OFF     ;     0; 15550; 0; 0                                                          
 417.2;    0; OFF     ;     0; 15535; 0; 0                                                          
 418.2;    0; OFF     ;     0; 15532; 0; 0                                                          
 419.2;    0; OFF     ;     0; 15526; 0; 0                                                          
 420.2;    0; OFF     ;     0; 15521; 0; 0                                                          
 421.2;    0; OFF     ;     0; 15521; 0; 0                                                          
 422.2;    0; OFF     ;     0; 15519; 0; 0                                                          
